scene_id,checkpoint_path,checkpoint_read_ok,checkpoint_read_error,year,acquisition_date,orbit_state,relative_orbit,platform,rows_n,zero_support_checkpoint,scene_id_values_n,scene_id_matches_filename,support_ids_n,duplicate_support_rows_n,vv_raster_inside_n,vv_calibration_fail_n,vv_noise_fail_n,vv_nonpositive_n,vv_valid_corrected_sigma0_n,vh_raster_inside_n,vh_calibration_fail_n,vh_noise_fail_n,vh_nonpositive_n,vh_valid_corrected_sigma0_n
S1B_IW_GRDH_1SDV_20200617T052626_20200617T052651_022069_029E24_E519_COG,outputs\diagnostics\design_c\c2v\scene_checkpoints\primary\S1B_IW_GRDH_1SDV_20200617T052626_20200617T052651_022069_029E24_E519_COG.csv.gz,True,,2020,2020-06-17,descending,168,sentinel-1b,0,True,0,True,0,0,0,0,0,0,0,0,0,0,0,0
S1B_IW_GRDH_1SDV_20200617T052634_20200617T052659_022069_029E24_B6EA_COG,outputs\diagnostics\design_c\c2v\scene_checkpoints\primary\S1B_IW_GRDH_1SDV_20200617T052634_20200617T052659_022069_029E24_B6EA_COG.csv.gz,True,,2020,2020-06-17,descending,168,sentinel-1b,1652,False,1,True,1652,0,1652,0,0,283,1369,1652,0,0,292,1360
S1B_IW_GRDH_1SDV_20200617T052651_20200617T052716_022069_029E24_1BA6_COG,outputs\diagnostics\design_c\c2v\scene_checkpoints\primary\S1B_IW_GRDH_1SDV_20200617T052651_20200617T052716_022069_029E24_1BA6_COG.csv.gz,True,,2020,2020-06-17,descending,168,sentinel-1b,2397,False,1,True,2397,0,2397,0,0,279,2118,2397,0,0,295,2102
S1B_IW_GRDH_1SDV_20200617T052659_20200617T052724_022069_029E24_A31E_COG,outputs\diagnostics\design_c\c2v\scene_checkpoints\primary\S1B_IW_GRDH_1SDV_20200617T052659_20200617T052724_022069_029E24_A31E_COG.csv.gz,True,,2020,2020-06-17,descending,168,sentinel-1b,906,False,1,True,906,0,906,0,0,168,738,906,0,0,179,727
S1B_IW_GRDH_1SDV_20200622T053446_20200622T053511_022142_02A063_B797_COG,outputs\diagnostics\design_c\c2v\scene_checkpoints\primary\S1B_IW_GRDH_1SDV_20200622T053446_20200622T053511_022142_02A063_B797_COG.csv.gz,True,,2020,2020-06-22,descending,66,sentinel-1b,3660,False,1,True,3660,0,3660,0,0,0,3660,3660,0,0,85,3575
S1B_IW_GRDH_1SDV_20200622T053453_20200622T053518_022142_02A063_2A05_COG,outputs\diagnostics\design_c\c2v\scene_checkpoints\primary\S1B_IW_GRDH_1SDV_20200622T053453_20200622T053518_022142_02A063_2A05_COG.csv.gz,True,,2020,2020-06-22,descending,66,sentinel-1b,4331,False,1,True,4331,0,4331,0,0,0,4331,4331,0,0,108,4223
S1B_IW_GRDH_1SDV_20200622T053511_20200622T053536_022142_02A063_52FE_COG,outputs\diagnostics\design_c\c2v\scene_checkpoints\primary\S1B_IW_GRDH_1SDV_20200622T053511_20200622T053536_022142_02A063_52FE_COG.csv.gz,True,,2020,2020-06-22,descending,66,sentinel-1b,671,False,1,True,671,0,671,0,0,0,671,671,0,0,25,646
S1A_IW_GRDH_1SDV_20200623T052709_20200623T052734_033140_03D6D5_8DFE_COG,outputs\diagnostics\design_c\c2v\scene_checkpoints\primary\S1A_IW_GRDH_1SDV_20200623T052709_20200623T052734_033140_03D6D5_8DFE_COG.csv.gz,True,,2020,2020-06-23,descending,168,sentinel-1a,0,True,0,True,0,0,0,0,0,0,0,0,0,0,0,0
S1A_IW_GRDH_1SDV_20200623T052714_20200623T052739_033140_03D6D5_79B2_COG,outputs\diagnostics\design_c\c2v\scene_checkpoints\primary\S1A_IW_GRDH_1SDV_20200623T052714_20200623T052739_033140_03D6D5_79B2_COG.csv.gz,True,,2020,2020-06-23,descending,168,sentinel-1a,626,False,1,True,626,0,626,0,0,147,479,626,0,0,150,476
S1A_IW_GRDH_1SDV_20200623T052734_20200623T052759_033140_03D6D5_C9BA_COG,outputs\diagnostics\design_c\c2v\scene_checkpoints\primary\S1A_IW_GRDH_1SDV_20200623T052734_20200623T052759_033140_03D6D5_C9BA_COG.csv.gz,True,,2020,2020-06-23,descending,168,sentinel-1a,2421,False,1,True,2421,0,2421,0,0,300,2121,2421,0,0,334,2087
S1A_IW_GRDH_1SDV_20200623T052739_20200623T052804_033140_03D6D5_A92E_COG,outputs\diagnostics\design_c\c2v\scene_checkpoints\primary\S1A_IW_GRDH_1SDV_20200623T052739_20200623T052804_033140_03D6D5_A92E_COG.csv.gz,True,,2020,2020-06-23,descending,168,sentinel-1a,1994,False,1,True,1994,0,1994,0,0,362,1632,1994,0,0,381,1613
S1A_IW_GRDH_1SDV_20200624T171500_20200624T171525_033162_03D77A_4CC4_COG,outputs\diagnostics\design_c\c2v\scene_checkpoints\primary\S1A_IW_GRDH_1SDV_20200624T171500_20200624T171525_033162_03D77A_4CC4_COG.csv.gz,True,,2020,2020-06-24,ascending,15,sentinel-1a,4331,False,1,True,4331,0,4331,0,0,1,4330,4331,0,0,157,4174
